"SEQUENCIAL_CANDIDATO";"SIGLA_UF";"TOTAL_VOTOS"
70000000458;"DF";3903
70000000459;"DF";1608
70000000460;"DF";1850
70000000461;"DF";93653
70000000582;"DF";0
70000000657;"DF";1702
70000000658;"DF";176
70000000659;"DF";3538
70000000660;"DF";3684
70000000661;"DF";32843
70000000662;"DF";2489
70000000663;"DF";1627
70000000665;"DF";391
70000000666;"DF";2973
70000000667;"DF";958
70000000668;"DF";2607
70000000669;"DF";1244
70000000670;"DF";145
70000000671;"DF";699
70000000672;"DF";13600
70000000673;"DF";607
70000000674;"DF";365
70000000675;"DF";3264
70000000676;"DF";155056
70000000813;"DF";707
70000000823;"DF";526
70000000824;"DF";16776
70000000825;"DF";26399
70000000826;"DF";2317
70000000827;"DF";2294
70000000828;"DF";71381
70000000829;"DF";1558
70000000830;"DF";810
70000000831;"DF";48037
70000000832;"DF";4004
70000000834;"DF";84583
70000000835;"DF";6713
70000000838;"DF";209
70000000839;"DF";659
70000000840;"DF";164
70000000841;"DF";92558
70000000842;"DF";8027
70000000891;"DF";82594
70000000892;"DF";5040
70000000893;"DF";1108
70000000894;"DF";21888
70000000895;"DF";2826
70000000896;"DF";0
70000000897;"DF";255
70000000898;"DF";5653
70000000899;"DF";1537
70000000900;"DF";936
70000000902;"DF";78945
70000000904;"DF";15121
70000000905;"DF";363
70000000906;"DF";171
70000000907;"DF";3294
70000000908;"DF";16622
70000000909;"DF";797
70000000910;"DF";505
70000000911;"DF";181
70000000912;"DF";397
70000000913;"DF";272
70000000914;"DF";3709
70000000915;"DF";3347
70000001061;"DF";566
70000001062;"DF";176
70000001063;"DF";277
70000001064;"DF";2135
70000001065;"DF";252
70000001066;"DF";504
70000001068;"DF";2066
70000001069;"DF";1438
70000001070;"DF";5083
70000001071;"DF";1287
70000001072;"DF";1531
70000001073;"DF";27444
70000001074;"DF";2558
70000001075;"DF";71937
70000001076;"DF";923
70000001077;"DF";859
70000001078;"DF";187
70000001079;"DF";37776
70000001080;"DF";1415
70000001081;"DF";55340
70000001082;"DF";1267
70000001083;"DF";486
70000001084;"DF";2636
70000001085;"DF";1369
70000001482;"DF";448
70000001483;"DF";145
70000001484;"DF";29481
70000001563;"DF";0
80000000008;"ES";212
80000000009;"ES";340
80000000010;"ES";1006
80000000011;"ES";370
80000000164;"ES";8564
80000000165;"ES";840
80000000166;"ES";0
80000000167;"ES";45525
80000000168;"ES";351
80000000169;"ES";48829
80000000170;"ES";0
80000000171;"ES";2462
80000000172;"ES";11963
80000000174;"ES";38
80000000175;"ES";16300
80000000177;"ES";1891
80000000178;"ES";8126
80000000179;"ES";36174
80000000180;"ES";0
80000000181;"ES";36032
80000000182;"ES";2167
80000000183;"ES";999
80000000184;"ES";0
80000000185;"ES";250
80000000187;"ES";1504
80000000188;"ES";24279
80000000191;"ES";6497
80000000192;"ES";2711
80000000193;"ES";4633
80000000338;"ES";1232
80000000339;"ES";563
80000000340;"ES";738
80000000341;"ES";217
80000000342;"ES";269
80000000343;"ES";4802
80000000344;"ES";456
80000000345;"ES";700
80000000346;"ES";3020
80000000347;"ES";15196
80000000348;"ES";2488
80000000350;"ES";262
80000000351;"ES";2705
80000000353;"ES";1993
80000000354;"ES";86506
80000000355;"ES";31113
80000000357;"ES";88110
80000000359;"ES";236
80000000362;"ES";680
80000000363;"ES";1867
80000000364;"ES";555
80000000366;"ES";80
80000000384;"ES";1526
80000000385;"ES";790
80000000386;"ES";10372
80000000387;"ES";161744
80000000388;"ES";6559
80000000389;"ES";2222
80000000390;"ES";324
80000000391;"ES";6404
80000000392;"ES";8195
80000000393;"ES";1536
80000000394;"ES";4706
80000000398;"ES";1036
80000000399;"ES";50928
80000000400;"ES";83967
80000000401;"ES";1815
80000000402;"ES";43858
80000000403;"ES";627
80000000404;"ES";1113
80000000405;"ES";1986
80000000406;"ES";14446
80000000431;"ES";428
80000000432;"ES";446
80000000433;"ES";897
80000000434;"ES";3744
80000000435;"ES";1612
80000000436;"ES";4477
80000000437;"ES";0
80000000438;"ES";6988
80000000439;"ES";641
80000000443;"ES";4493
80000000444;"ES";0
80000000446;"ES";237
80000000447;"ES";3616
80000000448;"ES";1119
80000000449;"ES";636
80000000450;"ES";1132
80000000451;"ES";72
80000000452;"ES";1095
80000000453;"ES";672
80000000454;"ES";4344
80000000455;"ES";617
80000000456;"ES";1921
80000000457;"ES";593
80000000458;"ES";0
80000000459;"ES";16009
80000000460;"ES";42668
80000000461;"ES";94759
80000000462;"ES";23565
80000000463;"ES";194
80000000464;"ES";2157
80000000465;"ES";722
80000000466;"ES";1645
80000000468;"ES";24229
80000000469;"ES";278
80000000470;"ES";2119
80000000471;"ES";64969
80000000472;"ES";0
80000000473;"ES";67631
80000000474;"ES";1716
80000000476;"ES";34
80000000477;"ES";69880
80000000478;"ES";42848
80000000479;"ES";49729
80000000481;"ES";91210
80000000482;"ES";6763
80000000483;"ES";0
80000000488;"ES";4264
80000000492;"ES";903
80000000493;"ES";396
80000000496;"ES";940
80000000497;"ES";1735
80000000505;"ES";3880
80000000507;"ES";578
80000000508;"ES";411
80000000509;"ES";2583
80000000510;"ES";11635
80000000512;"ES";1038
80000000513;"ES";1961
80000000514;"ES";1512
80000000515;"ES";1958
80000000516;"ES";1125
80000000517;"ES";15505
80000000518;"ES";801
80000000519;"ES";188
80000000520;"ES";337
80000000521;"ES";2259
80000000709;"ES";0
80000000710;"ES";596
80000000725;"ES";665
80000000726;"ES";307
80000000728;"ES";758
80000000729;"ES";168
80000000750;"ES";2096
80000000752;"ES";138
80000000753;"ES";18
80000000754;"ES";87
80000000755;"ES";123
80000000756;"ES";29
80000000792;"ES";34092
80000000793;"ES";112
80000000799;"ES";17075
80000000802;"ES";449
80000000803;"ES";697
80000000807;"ES";364
80000000825;"ES";201
80000000849;"ES";383
90000000006;"GO";490
90000000007;"GO";276
90000000008;"GO";172
90000000009;"GO";292
90000000010;"GO";847
90000000011;"GO";73
90000000300;"GO";4731
90000000301;"GO";11813
90000000304;"GO";815
90000000306;"GO";351
90000000307;"GO";12944
90000000308;"GO";2331
90000000309;"GO";1198
90000000310;"GO";2680
90000000311;"GO";106291
90000000312;"GO";471
90000000313;"GO";461
90000000314;"GO";383
90000000315;"GO";99
90000000324;"GO";115874
90000000328;"GO";35923
90000000330;"GO";2653
90000000333;"GO";58865
90000000348;"GO";34218
90000000362;"GO";3152
90000000515;"GO";756
90000000522;"GO";939
90000000523;"GO";227
90000000524;"GO";1474
90000000569;"GO";1622
90000000602;"GO";102
90000000603;"GO";1185
90000000604;"GO";5024
90000000606;"GO";35
90000000611;"GO";77925
90000000612;"GO";26086
90000000613;"GO";66234
90000000615;"GO";179214
90000000616;"GO";453
90000000617;"GO";129
90000000618;"GO";1401
90000000619;"GO";41845
90000000620;"GO";850
90000000621;"GO";381
90000000622;"GO";199
90000000623;"GO";78387
90000000624;"GO";411
90000000625;"GO";34079
90000000628;"GO";458
90000000629;"GO";0
90000000630;"GO";326
90000000632;"GO";213
90000000633;"GO";567
90000000635;"GO";1989
90000000711;"GO";92347
90000000712;"GO";118458
90000000713;"GO";527
